group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
PMG,P1,False,False,False,True,True,False,True,True,True,3,A2P065E9CYMYJL,33918,1
P4,PG,False,False,True,True,True,False,True,False,True,3,A2P065E9CYMYJL,24814,0
P6M,PG,False,False,False,False,False,False,False,True,False,4,A2P065E9CYMYJL,1121,1
PMG,P4M,False,False,True,False,False,True,True,False,True,4,A2P065E9CYMYJL,32268,0
P4G,PMG,False,True,False,False,False,True,True,False,True,3,A2P065E9CYMYJL,17642,1
P4G,P4M,True,False,False,True,True,True,True,True,True,1,A2P065E9CYMYJL,18131,0
P6,P31M,True,False,False,True,True,False,True,True,False,2,A2P065E9CYMYJL,3899,0
P4G,P4,True,False,False,False,False,True,True,True,True,1,A2P065E9CYMYJL,16271,1
P2,P3,False,True,True,True,True,False,False,True,True,2,A2P065E9CYMYJL,50727,0
PGG,P3M1,False,False,False,False,True,False,False,True,True,3,A2P065E9CYMYJL,30238,1
CMM,PGG,False,False,False,False,False,True,True,True,True,3,A2P065E9CYMYJL,26566,0
PMM,P4M,False,True,True,False,False,True,True,False,True,3,A2P065E9CYMYJL,38029,1
P4,PMG,False,False,False,True,True,True,True,False,True,4,A2P065E9CYMYJL,22763,1
P4G,PG,False,True,False,False,False,False,True,False,True,4,A2P065E9CYMYJL,19045,0
P3M1,PGG,False,False,False,False,True,False,False,True,True,3,A2P065E9CYMYJL,12488,1
P3,PG,False,False,True,True,True,True,False,True,True,2,A2P065E9CYMYJL,13308,0
CMM,P4G,False,False,False,True,True,True,True,False,True,1,A2P065E9CYMYJL,26455,1
CMM,PM,False,False,True,False,False,False,True,True,True,4,A2P065E9CYMYJL,28691,1
PMG,PGG,True,True,False,True,True,True,True,True,True,1,A2P065E9CYMYJL,34308,1
CM,P3,False,True,True,False,True,True,False,True,True,2,A2P065E9CYMYJL,40499,1
PM,CM,False,False,True,False,True,True,True,True,True,1,A2P065E9CYMYJL,46569,0
PG,P2,False,False,True,True,True,False,True,True,True,2,A2P065E9CYMYJL,42191,0
P4G,PMM,False,False,False,False,False,True,True,False,True,2,A2P065E9CYMYJL,18976,1
P2,P1,True,True,True,True,True,False,True,True,True,1,A2P065E9CYMYJL,48629,1
P3,P3M1,True,True,True,False,True,True,True,True,True,1,A2P065E9CYMYJL,15498,1
CMM,PMM,False,False,False,False,False,True,True,True,True,1,A2P065E9CYMYJL,27311,0
P6,P4,False,True,True,True,True,True,False,False,False,2,A2P065E9CYMYJL,6024,1
P4M,PMG,False,False,True,False,False,True,True,False,True,4,A2P065E9CYMYJL,20853,1
PGG,P4,False,False,False,True,True,True,True,False,True,4,A2P065E9CYMYJL,29104,1
PM,P31M,False,True,False,True,True,True,False,True,True,2,A2P065E9CYMYJL,47478,1
PMG,PG,True,True,False,True,True,False,True,True,True,2,A2P065E9CYMYJL,34427,1
CM,PMG,False,False,False,False,True,False,True,True,True,1,A2P065E9CYMYJL,41399,1
CM,P1,False,True,True,False,True,True,True,True,True,3,A2P065E9CYMYJL,40295,0
P31M,PM,False,True,False,True,True,True,False,True,True,2,A2P065E9CYMYJL,6929,1
P1,P4,False,True,True,True,True,False,True,False,True,2,A2P065E9CYMYJL,53440,1
PGG,P6,False,False,False,True,True,True,False,True,False,4,A2P065E9CYMYJL,30775,0
P3M1,P2,False,True,True,False,True,False,False,True,True,3,A2P065E9CYMYJL,10193,0
P3,P1,False,True,True,True,True,True,False,True,True,1,A2P065E9CYMYJL,14690,0
P1,P2,True,True,True,True,True,False,True,True,True,1,A2P065E9CYMYJL,53732,1
P6M,P4,False,False,False,False,False,True,False,False,False,3,A2P065E9CYMYJL,909,1
