group_target,group_comp,rot_same,ref_same,gref_same,tile_same,user_id,task_id,distance,accuracy
 PMG,P1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,33918,3,1
 P4,PG,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,24814,3,0
 P6M,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,1121,4,1
 PMG,P4M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,32268,4,0
 P4G,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,17642,3,1
 P4G,P4M,TRUE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,18131,1,0
 P6,P31M,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,3899,2,0
 P4G,P4,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,16271,1,1
 P2,P3,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,50727,2,0
 PGG,P3M1,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,30238,3,1
 CMM,PGG,TRUE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,26566,3,0
 PMM,P4M,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,38029,3,1
 P4,PMG,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,22763,4,1
 P4G,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,19045,4,0
 P3M1,PGG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,12488,3,1
 P3,PG,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,13308,2,0
 CMM,P4G,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,26455,1,1
 CMM,PM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,28691,4,1
 PMG,PGG,TRUE,FALSE,TRUE,TRUE,A2P065E9CYMYJL,34308,1,1
 CM,P3,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,40499,2,1
 PM,CM,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,46569,1,0
 PG,P2,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,42191,2,0
 P4G,PMM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,18976,2,1
 P2,P1,FALSE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,48629,1,1
 P3,P3M1,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,15498,1,1
 CMM,PMM,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,27311,1,0
 P6,P4,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,6024,2,1
 P4M,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,20853,4,1
 PGG,P4,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,29104,4,1
 PM,P31M,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,47478,2,1
 PMG,PG,FALSE,FALSE,TRUE,TRUE,A2P065E9CYMYJL,34427,2,1
 CM,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,41399,1,1
 CM,P1,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,40295,3,0
 P31M,PM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,6929,2,1
 P1,P4,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,53440,2,1
 PGG,P6,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,30775,4,0
 P3M1,P2,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,10193,3,0
 P3,P1,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,14690,1,0
 P1,P2,FALSE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,53732,1,1
 P6M,P4,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,909,3,1
 P31M,CMM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,9243,2,1
 P6M,P2,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,1877,2,1
 P4,P3M1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,22529,4,1
 P4G,PM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,17192,5,1
 P3,P4M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,14949,5,0
 PMG,P6M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,32677,3,1
 P3M1,P1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,10849,2,1
 PMG,P31M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,32094,2,1
 P3,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,15147,4,1
 P4,P4M,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,22674,2,1
 P4,P3,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,25142,3,1
 P3,P4G,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,14269,4,0
 P4G,P6M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,16040,2,0
 P3,P6M,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,13460,2,1
 P2,CMM,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,50906,3,1
 P1,PMG,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,52904,3,0
 CM,P6,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,39756,3,1
 CMM,P4,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,27180,2,1
 P2,P4G,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,48240,2,1
 PGG,PM,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,31882,2,0
 PM,PGG,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,47731,2,1
 PM,P3M1,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,46236,2,1
 P6M,PM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,1186,3,1
 PMM,PG,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,36326,3,1
 P3M1,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,12522,2,1
 PG,P4G,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,41824,4,1
 P2,PMM,TRUE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,48465,4,0
 P3M1,P4M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,10458,4,1
 P6,PG,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,5636,3,1
 P6M,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,1672,3,1
 CMM,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,28644,4,1
 P1,P4M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,53364,4,0
 P4M,CM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,21566,5,1
 PG,PM,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,42791,1,1
 P31M,CM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,8770,1,1
 PMM,PGG,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,37518,2,0
 CM,PM,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,40216,1,1
 P2,P4,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,48934,1,0
 CM,P31M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,38486,1,1
 PMG,P2,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,34492,4,1
 P2,P4M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,49551,3,1
 CMM,P1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,28134,4,1
 PMM,PMG,TRUE,TRUE,FALSE,TRUE,A2P065E9CYMYJL,35610,1,1
 P6M,P4G,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,2721,2,1
 P2,PGG,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,50302,3,1
 PM,P3,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,44988,3,1
 PM,P6,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,46158,4,1
 PGG,CM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,31831,2,1
 P3M1,CMM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,11183,2,1
 P2,CM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,48511,4,0
 P1,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,51649,4,1
 P3,PMG,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,14475,3,1
 P6,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,5539,3,1
 PMG,P4,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,33592,4,1
 PGG,CMM,TRUE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,31703,3,0
 PMM,P31M,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,35942,3,1
 P3,P31M,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,13535,1,1
 P2,P6M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,50565,2,1
 PM,CMM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,45761,4,1
 P3M1,P31M,TRUE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,10348,1,1
 CMM,P3,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,28346,3,1
 P6,P6M,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,4507,1,1
 P1,CMM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,53451,4,1
