turk_id, hit_id, num_clicks, per_Correct, per_top, per_bottom, per_timeout, pennies_paid,Value,Reason
 A2O5OJXCUFQ3FV, 3J6BHNX0U9Y23G6CKIF0MMQ2K7FKNG,274,0.478,0.646,0.354,0.109,200,True Negative,>0.6 on one choice
 A34SUZWGLXIWM8, 359AP8GAGGQVHX21CYHD26R4FLB7CT,273,0.484,0.535,0.465,0.348,200,True Negative,>0.2 timeouts
 AS109WTSIA8NU, 359AP8GAGGQVHX21CYHD26R4FLB7CT,358,0.497,0.564,0.436,0.003,200,True Negative,>340 clicks
 A1HU9IOTYXB4YY, 3FDWKV9VCN8AOUQO2V42FUA0HA4UMS,294,0.517,0.568,0.432,0.316,207,True Negative,>0.2 timeouts
 A1TH0PTGDSBWMO, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,274,0.536,0.493,0.507,0.077,215,False Positive,Fits no criteria
 A2QEX61YIEGLL3, 3L1EFR8WWTB6YSA4IX5YO83D7MMF9F,273,0.538,0.604,0.396,0.095,215,True Negative,>0.6 on one choice
 A2H90BPVE5L51U, 3L4YG5VW9NYL3Y9P37FAM4JIMUFDDD,272,0.548,0.699,0.301,0.055,219,True Negative,>0.6 on one choice
 A2HCKWFKLJAMRG, 3SZYX62S5G6AICTMXOU5O0LUN47571,274,0.595,0.701,0.299,0.022,238,True Negative,>0.6 on one choice
 A23DPGTXU8VUG2, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,275,0.604,0.585,0.415,0.047,241,Truish Positive,Goodish Users
 A1THCV9EM7E9P5, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,275,0.607,0.549,0.451,0.196,243,Truish Positive,Goodish Users
 A1A3TGZ7DKJWRW, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.618,0.467,0.533,0.107,247,Truish Positive,Goodish Users
 AWVIOLZUKBNVU, 3SZYX62S5G6AICTMXOU5O0LUN47571,277,0.625,0.419,0.581,0.007,250,Truish Positive,Goodish Users
 ATV65PFDODC08, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.625,0.526,0.474,0.246,250,Truish Negative,>0.2 timeouts
 A2A8HRBDYBV6XJ, 3VJ4PFXFJ3D9MTHZ5SEX63F0NPIUA3,272,0.64,0.599,0.401,0.007,256,Truish Positive,Goodish Users
 A2JEM59HAWM4GX, 30OITAWPBQ9QCO1ADNTYRTFQN2O9HY,272,0.658,0.544,0.456,0.18,263,Truish Positive,Goodish Users
 A2FBXVIBVLPPI4, 3N2YPY1GI64CPLNBQNQOY87AMFOVEV,272,0.658,0.54,0.46,0.224,263,Truish Negative,>0.2 timeouts
 AUAN582MLI96N, 304QEQWKZPQI8BZKH45VIRBYWJI0O9,272,0.669,0.54,0.46,0.081,268,Truish Positive,Goodish Users
 A36W1S4Z2LSNTC, 3SZYX62S5G6AICTMXOU5O0LUN47571,273,0.681,0.549,0.451,0.018,273,Truish Positive,Goodish Users
 A2SENAPNSXG9L, 3SZYX62S5G6AICTMXOU5O0LUN47571,272,0.688,0.504,0.496,0.114,275,Truish Positive,Goodish Users
